URL,Título,Descripción,Temáticas,Etiquetas,Fecha de creación,Fecha de última modificación,Frecuencia de actualización,Idiomas,Órgano Publicador,Condiciones de uso,Cobertura geográfica,Cobertura temporal,Vigencia del recurso,Recursos relacionados,Normativa,Distribuciones
https://datos.gob.es/es/catalogo/l01280796-censo-de-animales-domesticos-por-distrito1,[es]Censo de animales domésticos por distrito,"[es]Censo de animales domésticos de la ciudad de Madrid, por distritos.   Estos datos han sido facilitados por el Ilustre Colegio Oficial de Veterinarios de Madrid, quien ostenta la explotación de la base de datos del  Registro de Animales de Compañía de Madrid  (RIAC)   siendo su titularidad de la Comunidad Autónoma de Madrid.",http://datos.gob.es/kos/sector-publico/sector/salud,,2025-10-04T06:06:36.904038,2026-01-10T11:15:51.939190,1 years,http://publications.europa.eu/resource/authority/language/SPA,Ayuntamiento de Madrid ayuntamiento-de-madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,,,,,,https://datos.madrid.es/egob/catalogo/207118-0-censo-animales.xlsx application/vnd.ms-excel  [es]Censo de animales domésticos por distrito https://datos.madrid.es/egob/catalogo/207118-1-censo-animales.csv text/csv  [es]Censo de animales domésticos por distrito
https://datos.gob.es/es/catalogo/a02002834-registro-de-identificacion-de-animales-de-compania-de-aragon-riaca1,[es]Registro de Identificación de Animales de Compañía de Aragón (RIACA),"[es]Datos identificativos de perros, gatos y hurones (sexo, nombre, raza, aptitud, fecha de alta, etc.) inscritos en el Registro de Identificación de Animales de Compañía de Aragón, desagregados por provincias, y municipios con una población superior a 5.000 habitantes.",http://datos.gob.es/kos/sector-publico/sector/medio-rural-pesca,,2025-03-27T17:19:33.971315,2026-01-10T11:00:10.062968,1 minutes,http://publications.europa.eu/resource/authority/language/SPA,Gobierno de Aragón gobierno-de-aragon,https://creativecommons.org/licenses/by/4.0/,,,,,,https://opendata.aragon.es/GA_OD_Core/download?resource_id=3138&formato=json application/json  [es]Registros de Identificación de Animales de Compañía de Aragón - JSON https://opendata.aragon.es//ckan/dataset/registro-de-identificacion-de-animales-de-compania-de-aragon-riaca/resource/0b6b456b-e42d-409c-a2fd-e1723f290468?view_id=5a2988b8-6648-4aec-8ae8-cc520342a1b0 text/html  [es]Registros de Identificación de Animales de Compañía de Aragón - HTML https://opendata.aragon.es/ckan/datastore/dump/074f2452-2f75-4d73-9876-cc42be5bf930?format=csv&bom=True text/csv  [es]Registros de Identificación de Animales de Compañía de Aragón - CSV https://opendata.aragon.es/ckan/datastore/dump/074f2452-2f75-4d73-9876-cc42be5bf930?format=json&bom=True application/json  [es]Registros de Identificación de Animales de Compañía de Aragón - JSON https://opendata.aragon.es/ckan/datastore/dump/074f2452-2f75-4d73-9876-cc42be5bf930?format=json&bom=True application/json  [es]Registros de Identificación de Animales de Compañía de Aragón - JSON https://opendata.aragon.es/ckan/datastore/dump/074f2452-2f75-4d73-9876-cc42be5bf930?format=tsv&bom=True text/tab-separated-values  [es]Registros de Identificación de Animales de Compañía de Aragón - TSV https://opendata.aragon.es/ckan/datastore/dump/074f2452-2f75-4d73-9876-cc42be5bf930?format=xml&bom=True application/xml  [es]Registros de Identificación de Animales de Compañía de Aragón - XML https://opendata.aragon.es/GA_OD_Core/download?resource_id=3138&formato=csv text/csv  [es]Registros de Identificación de Animales de Compañía de Aragón - CSV https://opendata.aragon.es//ckan/dataset/registro-de-identificacion-de-animales-de-compania-de-aragon-riaca/resource/074f2452-2f75-4d73-9876-cc42be5bf930?view_id=e956b6e0-6c70-4c43-97dc-8fb57284ef16 text/html  [es]Registros de Identificación de Animales de Compañía de Aragón - HTML https://opendata.aragon.es/GA_OD_Core/download?resource_id=3138&formato=xml application/xml  [es]Registros de Identificación de Animales de Compañía de Aragón - XML https://opendata.aragon.es//ckan/dataset/registro-de-identificacion-de-animales-de-compania-de-aragon-riaca/resource/b8a5e24d-8894-458c-a528-346759cbcf7b?view_id=aa14ec32-42f1-4eac-83db-44dc972dea71 text/html  [es]Registros de Identificación de Animales de Compañía de Aragón - HTML https://opendata.aragon.es/ckan/datastore/dump/efab480d-e201-4b0c-b9f3-3759fd1040bd?format=csv&bom=True text/csv  [es]Registros de Identificación de Animales de Compañía de Aragón - CSV https://opendata.aragon.es/ckan/datastore/dump/efab480d-e201-4b0c-b9f3-3759fd1040bd?format=json&bom=True application/json  [es]Registros de Identificación de Animales de Compañía de Aragón - JSON https://opendata.aragon.es/ckan/datastore/dump/efab480d-e201-4b0c-b9f3-3759fd1040bd?format=json&bom=True application/json  [es]Registros de Identificación de Animales de Compañía de Aragón - JSON https://opendata.aragon.es/ckan/datastore/dump/efab480d-e201-4b0c-b9f3-3759fd1040bd?format=tsv&bom=True text/tab-separated-values  [es]Registros de Identificación de Animales de Compañía de Aragón - TSV https://opendata.aragon.es/ckan/datastore/dump/efab480d-e201-4b0c-b9f3-3759fd1040bd?format=xml&bom=True application/xml  [es]Registros de Identificación de Animales de Compañía de Aragón - XML https://opendata.aragon.es/GA_OD_Core/download?resource_id=3138&formato=xlsx application/vnd.openxmlformats-officedocument.spreadsheetml.sheet  [es]Registros de Identificación de Animales de Compañía de Aragón - XLSX https://opendata.aragon.es//ckan/dataset/registro-de-identificacion-de-animales-de-compania-de-aragon-riaca/resource/efab480d-e201-4b0c-b9f3-3759fd1040bd?view_id=f8379e01-9643-4c9b-8014-041e4df4930b text/html  [es]Registros de Identificación de Animales de Compañía de Aragón - HTML
